episode,run_0
0,False
1,False
2,False
3,False
4,False
5,False
6,False
7,False
8,False
9,False
10,False
11,False
12,False
13,False
14,False
15,False
16,False
17,False
18,False
19,False
20,False
21,False
22,False
23,False
24,False
25,False
26,False
27,False
28,False
29,False
30,False
31,False
32,False
33,False
34,False
35,False
36,False
37,False
38,False
39,False
40,False
41,False
42,False
43,False
44,False
45,False
46,False
47,False
48,False
49,False
50,False
51,False
52,False
53,False
54,False
55,False
56,False
57,False
58,False
59,False
60,False
61,False
62,False
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,False
71,False
72,False
73,False
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,False
82,False
83,False
84,False
85,False
86,False
87,False
88,False
89,False
90,False
91,False
92,False
93,False
94,False
95,False
96,False
97,False
98,False
99,False
100,False
101,False
102,False
103,False
104,False
105,False
106,False
107,False
108,False
109,False
110,False
111,False
112,True
113,False
114,True
115,False
116,False
117,False
118,False
119,True
120,False
121,True
122,False
123,False
124,False
125,False
126,False
127,True
128,False
129,False
130,False
131,False
132,False
133,False
134,True
135,False
136,False
137,False
138,True
139,False
140,False
141,True
142,False
143,False
144,True
145,False
146,False
147,False
148,False
149,False
150,False
151,False
152,False
153,False
154,False
155,False
156,False
157,False
158,False
159,False
160,True
161,False
162,False
163,False
164,False
165,False
166,False
167,False
168,True
169,True
170,False
171,True
172,True
173,False
174,False
175,True
176,False
177,False
178,True
179,True
180,False
181,True
182,True
183,False
184,False
185,True
186,False
187,False
188,False
189,True
190,False
191,False
192,False
193,False
194,True
195,True
196,False
197,False
198,False
199,False
200,False
201,False
202,True
203,False
204,False
205,True
206,False
207,False
208,True
209,True
210,False
211,True
212,False
213,False
214,True
215,False
216,True
217,True
218,False
219,False
220,False
221,True
222,False
223,False
224,True
225,False
226,False
227,True
228,True
229,True
230,False
231,False
232,True
233,True
234,False
235,False
236,True
237,False
238,True
239,True
240,True
241,True
242,True
243,True
244,False
245,True
246,True
247,True
248,True
249,True
250,True
251,True
252,True
253,True
254,False
255,True
256,False
257,True
258,True
259,False
260,True
261,True
262,True
263,True
264,True
265,True
266,True
267,False
268,True
269,True
270,False
271,True
272,True
273,True
274,True
275,True
276,True
277,True
278,True
279,True
280,True
281,True
282,True
283,True
284,True
285,False
286,True
287,True
288,True
289,True
290,True
291,True
292,True
293,True
294,True
295,True
296,True
297,True
298,False
299,True
300,True
301,True
302,True
303,True
304,True
305,True
306,True
307,True
308,True
309,True
310,True
311,False
312,False
313,False
314,True
315,True
316,True
317,True
318,False
319,True
320,False
321,True
322,True
323,True
324,True
325,True
326,False
327,True
328,True
329,True
330,True
331,False
332,False
333,False
334,True
335,True
336,True
337,False
338,False
339,True
340,False
341,False
342,True
343,False
344,True
345,True
346,True
347,True
348,True
349,True
350,True
351,False
352,True
353,True
354,True
355,True
356,False
357,False
358,False
359,False
360,False
361,True
362,False
363,True
364,True
365,True
366,True
367,True
368,True
369,True
370,True
371,True
372,True
373,True
374,True
375,True
376,True
377,True
378,True
379,True
380,True
381,True
382,True
383,True
384,True
385,True
386,True
387,True
388,True
389,True
390,False
391,True
392,False
393,False
394,False
395,True
396,True
397,True
398,True
399,True
400,True
401,True
402,True
403,True
404,True
405,False
406,True
407,True
408,True
409,True
410,True
411,False
412,False
413,False
414,True
415,True
416,True
417,True
418,True
419,True
420,True
421,False
422,True
423,True
424,False
425,True
426,False
427,False
428,True
429,True
430,True
431,False
432,True
433,True
434,True
435,False
436,True
437,True
438,True
439,True
440,True
441,True
442,False
443,True
444,True
445,True
446,True
447,True
448,True
449,True
450,False
451,False
452,True
453,False
454,False
455,True
456,True
457,False
458,True
459,True
460,True
461,False
462,True
463,True
464,True
465,True
466,False
467,False
468,True
469,False
470,False
471,True
472,True
473,True
474,True
475,True
476,True
477,True
478,True
479,False
480,True
481,True
482,True
483,False
484,True
485,True
486,True
487,True
488,True
489,False
490,True
491,False
492,False
493,True
494,True
495,True
496,True
497,True
498,False
499,True
500,False
501,True
502,True
503,True
504,True
505,True
506,True
507,True
508,True
509,True
510,False
511,False
512,True
513,False
514,True
515,True
516,False
517,True
518,True
519,True
520,False
521,False
522,True
523,False
524,True
525,True
526,True
527,True
528,True
529,True
530,True
531,True
532,True
533,True
534,True
535,True
536,True
537,True
538,True
539,False
540,True
541,False
542,False
543,True
544,True
545,True
546,True
547,True
548,True
549,True
550,False
551,True
552,True
553,True
554,True
555,True
556,True
557,True
558,False
559,False
560,True
561,True
562,True
563,True
564,True
565,True
566,True
567,True
568,False
569,True
570,True
571,True
572,True
573,True
574,False
575,True
576,True
577,True
578,True
579,True
580,True
581,True
582,True
583,True
584,True
585,True
586,False
587,True
588,True
589,True
590,True
591,True
592,True
593,True
594,True
595,False
596,True
597,True
598,True
599,True
600,True
601,True
602,False
603,True
604,True
605,True
606,False
